VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1644860804161	-185.703	60.2072	-45.1086	0.99587	-0.0250542	-0.0872445	0.00173118	img_Drone1__0_1644860804723069800.png
Drone1	1644860804242	-185.753	60.2206	-45.105	0.995889	-0.0246687	-0.0871466	0.00104659	img_Drone1__0_1644860804803102400.png
Drone1	1644860804323	-185.791	60.2307	-45.1018	0.996011	-0.0240838	-0.0859166	0.000421266	img_Drone1__0_1644860804885374000.png
Drone1	1644860804404	-185.819	60.2378	-45.099	0.996237	-0.0231952	-0.0835093	-0.000113397	img_Drone1__0_1644860804967200600.png
Drone1	1644860804464	-185.832	60.241	-45.0972	0.996455	-0.0223621	-0.0810965	-0.000437973	img_Drone1__0_1644860805025598800.png
Drone1	1644860804557	-185.84	60.2429	-45.0948	0.996839	-0.0209063	-0.0766508	-0.000811543	img_Drone1__0_1644860805116818800.png
Drone1	1644860804644	-185.836	60.2414	-45.0928	0.99723	-0.0195022	-0.0717655	-0.00102229	img_Drone1__0_1644860805207624300.png
Drone1	1644860804701	-185.828	60.2388	-45.0917	0.997496	-0.018604	-0.0682284	-0.00108649	img_Drone1__0_1644860805263338800.png
Drone1	1644860804758	-185.815	60.2349	-45.0906	0.997765	-0.0176944	-0.0644208	-0.00109258	img_Drone1__0_1644860805320642100.png
Drone1	1644860804839	-185.79	60.2276	-45.0893	0.99815	-0.0162229	-0.0585804	-0.00099315	img_Drone1__0_1644860805403063500.png
Drone1	1644860804896	-185.767	60.2211	-45.0886	0.998415	-0.0150558	-0.0542247	-0.000853827	img_Drone1__0_1644860805459647700.png
Drone1	1644860804980	-185.728	60.2098	-45.0876	0.998775	-0.0132539	-0.047662	-0.000557845	img_Drone1__0_1644860805544024600.png
Drone1	1644860805037	-185.697	60.201	-45.0871	0.998996	-0.0120469	-0.0431538	-0.000306146	img_Drone1__0_1644860805601204400.png
Drone1	1644860805094	-185.664	60.1915	-45.0867	0.999198	-0.0108704	-0.0385265	-2.39097e-05	img_Drone1__0_1644860805656155400.png
Drone1	1644860805148	-185.63	60.1818	-45.0864	0.99937	-0.0097432	-0.0341276	0.000269103	img_Drone1__0_1644860805711550200.png
Drone1	1644860805205	-185.592	60.171	-45.0855	0.999551	-0.0103549	-0.0280954	0.000618175	img_Drone1__0_1644860805768721600.png
Drone1	1644860805280	-185.54	60.1558	-45.0843	0.999711	-0.00866667	-0.022415	0.00121624	img_Drone1__0_1644860805845057800.png
Drone1	1644860805337	-185.498	60.1436	-45.0837	0.999806	-0.00676168	-0.0184013	0.00167371	img_Drone1__0_1644860805901185300.png
Drone1	1644860805397	-185.453	60.1303	-45.0832	0.999886	-0.00470718	-0.0142099	0.00213497	img_Drone1__0_1644860805959887700.png
Drone1	1644860805451	-185.411	60.118	-45.0829	0.999939	-0.00300849	-0.0103424	0.00252162	img_Drone1__0_1644860806016254000.png
Drone1	1644860805505	-185.369	60.1056	-45.0828	0.999974	-0.00158827	-0.00635142	0.0028774	img_Drone1__0_1644860806069238600.png
Drone1	1644860805580	-185.31	60.0882	-45.0828	0.999994	3.62459e-06	-0.00088021	0.0033126	img_Drone1__0_1644860806143986200.png
Drone1	1644860805637	-185.265	60.0749	-45.0829	0.999988	0.00102859	0.00311765	0.00359715	img_Drone1__0_1644860806202679800.png
Drone1	1644860805700	-185.216	60.0603	-45.0832	0.999964	0.00200706	0.00726862	0.00386267	img_Drone1__0_1644860806263578000.png
Drone1	1644860805781	-185.153	60.0418	-45.0836	0.999911	0.00324161	0.0122655	0.00412402	img_Drone1__0_1644860806346552100.png
Drone1	1644860805838	-185.11	60.029	-45.0839	0.999861	0.00417479	0.0156009	0.00425326	img_Drone1__0_1644860806403049100.png
Drone1	1644860805895	-185.068	60.0165	-45.0843	0.999801	0.00511424	0.0188155	0.00433907	img_Drone1__0_1644860806458921400.png
Drone1	1644860805949	-185.029	60.0049	-45.0846	0.999738	0.00593531	0.021689	0.00438024	img_Drone1__0_1644860806515363000.png
Drone1	1644860806003	-184.992	59.9936	-45.0849	0.999673	0.0067202	0.0243002	0.00438445	img_Drone1__0_1644860806569361500.png
Drone1	1644860806060	-184.954	59.9822	-45.0852	0.999603	0.00750003	0.0268037	0.00435111	img_Drone1__0_1644860806625743700.png
Drone1	1644860806120	-184.915	59.9706	-45.0855	0.999529	0.00825227	0.0292465	0.00428126	img_Drone1__0_1644860806684081100.png
Drone1	1644860806192	-184.872	59.9575	-45.0851	0.999443	0.00910642	0.0318345	0.00415544	img_Drone1__0_1644860806758945500.png
Drone1	1644860806249	-184.84	59.9477	-45.0837	0.999379	0.00970068	0.0336471	0.00403177	img_Drone1__0_1644860806813756400.png
Drone1	1644860806303	-184.811	59.939	-45.0827	0.999326	0.0100978	0.0350708	0.00389989	img_Drone1__0_1644860806869443900.png
Drone1	1644860806363	-184.782	59.9301	-45.0817	0.999278	0.0104798	0.0363209	0.00373761	img_Drone1__0_1644860806927441500.png
Drone1	1644860806417	-184.758	59.9226	-45.081	0.999245	0.0107583	0.037155	0.0035816	img_Drone1__0_1644860806983399600.png
Drone1	1644860806471	-184.736	59.9158	-45.0805	0.99922	0.0109845	0.0377866	0.00342143	img_Drone1__0_1644860807038513000.png
Drone1	1644860806549	-184.709	59.907	-45.0799	0.999191	0.0112765	0.0384706	0.00318865	img_Drone1__0_1644860807115393100.png
Drone1	1644860806609	-184.69	59.9012	-45.0796	0.999183	0.011363	0.0386768	0.00301621	img_Drone1__0_1644860807176470600.png
Drone1	1644860806687	-184.671	59.8948	-45.0794	0.999188	0.0112912	0.0385735	0.00280792	img_Drone1__0_1644860807254865200.png
Drone1	1644860806744	-184.66	59.8909	-45.0794	0.9992	0.0111506	0.0383079	0.0026703	img_Drone1__0_1644860807310186900.png
Drone1	1644860806798	-184.651	59.8879	-45.0794	0.999218	0.0109797	0.0379031	0.00255054	img_Drone1__0_1644860807365183500.png
Drone1	1644860806855	-184.644	59.8855	-45.0794	0.999243	0.0107656	0.0373155	0.00243916	img_Drone1__0_1644860807422246000.png
Drone1	1644860806930	-184.639	59.8833	-45.0796	0.999285	0.0105174	0.0362555	0.00231418	img_Drone1__0_1644860807497710600.png
Drone1	1644860806987	-184.638	59.8824	-45.0797	0.999324	0.0102901	0.0352187	0.00223805	img_Drone1__0_1644860807554818200.png
Drone1	1644860807065	-184.64	59.8822	-45.0799	0.999387	0.0098604	0.0335279	0.00216476	img_Drone1__0_1644860807632832100.png
Drone1	1644860807119	-184.644	59.8828	-45.0801	0.999434	0.00947287	0.032213	0.00213689	img_Drone1__0_1644860807687361300.png
Drone1	1644860807173	-184.65	59.8839	-45.0803	0.999481	0.00908134	0.0308485	0.00212568	img_Drone1__0_1644860807741359600.png
Drone1	1644860807230	-184.658	59.8856	-45.0805	0.999529	0.00866947	0.0293593	0.00213146	img_Drone1__0_1644860807796176600.png
Drone1	1644860807287	-184.667	59.8879	-45.0807	0.999579	0.00818588	0.0277496	0.00215635	img_Drone1__0_1644860807851711500.png
Drone1	1644860807341	-184.678	59.8906	-45.0809	0.999627	0.00773401	0.0260892	0.00219304	img_Drone1__0_1644860807908853200.png
Drone1	1644860807398	-184.691	59.8938	-45.0812	0.999676	0.00726192	0.0242804	0.00224679	img_Drone1__0_1644860807964322800.png
